Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
CoAtNet-1,44.973544973544975,1.9591966949442707,0.4027023203169213,0.4026746557878633,0.3961381199930283,0.4488808640478136,0.4497354497354497,0.4420250228266295,0.5967741935483871,0.5,0.5441176470588235,74.0,0.4473684210526316,0.6415094339622641,0.5271317829457365,53.0,0.2333333333333333,0.1891891891891892,0.208955223880597,37.0,0.3333333333333333,0.28,0.3043478260869565,25.0,0.7090301554780362,0.6444855033920289,0.6104582843713279,0.8054938956714761,0.7462660028449503,0.6739024390243903,0.6104582843713279,0.8054938956714761,0.7462660028449503,0.6739024390243903,0.6444855033920289
RegNet-Y-400MF_with_ImagingType,44.44444444444444,1.8360102712792696,0.4934170407057731,0.5451045385007649,0.4370873770383575,0.5487513849888096,0.4444444444444444,0.4141760832029532,0.72,0.2432432432432432,0.3636363636363636,74.0,0.4642857142857143,0.2452830188679245,0.3209876543209876,53.0,0.5076923076923077,0.8918918918918919,0.6470588235294118,37.0,0.2816901408450704,0.8,0.4166666666666667,25.0,0.773135184723781,0.7055140300290212,0.7944770857814335,0.617369589345172,0.9102062588904696,0.7704878048780488,0.7944770857814335,0.617369589345172,0.9102062588904696,0.7704878048780488,0.7055140300290212
MaxViT-Tiny,44.44444444444444,3.3050803374991844,0.5031917223425191,0.5586588475267721,0.456006715582639,0.500356222964012,0.4444444444444444,0.3898051586150081,0.5,0.081081081081081,0.1395348837209302,74.0,0.3734939759036144,0.5849056603773585,0.4558823529411764,53.0,0.7741935483870968,0.6486486486486487,0.7058823529411765,37.0,0.365079365079365,0.92,0.5227272727272727,25.0,0.6926398752294808,0.6069352295101854,0.381786133960047,0.6005826859045506,0.9018492176386912,0.8863414634146342,0.381786133960047,0.6005826859045506,0.9018492176386912,0.8863414634146342,0.6069352295101854
Swin-V2-T,42.857142857142854,1.3680742619529602,0.5035497835497835,0.4006246812850587,0.3305663487578005,0.5859896012276965,0.4285714285714285,0.3784753955482791,0.5466666666666666,0.5540540540540541,0.5503355704697986,74.0,1.0,0.0754716981132075,0.1403508771929824,53.0,0.4675324675324675,0.972972972972973,0.631578947368421,37.0,0.0,0.0,0.0,25.0,0.6673527824619986,0.6072711663540589,0.6344300822561691,0.6234739178690344,0.9349217638691324,0.4765853658536585,0.6344300822561691,0.6234739178690344,0.9349217638691324,0.4765853658536585,0.6072711663540589
ConvNeXt-Base_with_ImagingType,41.7989417989418,1.9079895637653492,0.3899567099567099,0.4008439571647119,0.3745686892130858,0.4069935179458989,0.4179894179894179,0.3913386512380764,0.47,0.6351351351351351,0.5402298850574713,74.0,0.3636363636363636,0.1509433962264151,0.2133333333333333,53.0,0.3928571428571428,0.2972972972972973,0.3384615384615385,37.0,0.3333333333333333,0.52,0.40625,25.0,0.7414381890113537,0.7058686300308876,0.6253819036427732,0.6578801331853495,0.8456614509246088,0.836829268292683,0.6253819036427732,0.6578801331853495,0.8456614509246088,0.836829268292683,0.7058686300308876
Swin-V2-B,40.21164021164021,1.341372913153714,0.2233391608391608,0.3141891891891892,0.2496894409937888,0.2489300822634155,0.4021164021164021,0.2959610897499096,0.3782051282051282,0.7972972972972973,0.5130434782608696,74.0,0.0,0.0,0.0,53.0,0.5151515151515151,0.4594594594594595,0.4857142857142857,37.0,0.0,0.0,0.0,25.0,0.6999185461927144,0.6688782508888329,0.5149236192714454,0.9299389567147612,0.8518847795163584,0.5029268292682927,0.5149236192714454,0.9299389567147612,0.8518847795163584,0.5029268292682927,0.6688782508888329
BEiT-V2-Base_with_ImagingType,38.095238095238095,1.8928751699508184,0.4316411849020544,0.3813539010708822,0.3699671883468898,0.528737262277635,0.3809523809523809,0.4149343143884446,0.8285714285714286,0.3918918918918919,0.5321100917431193,74.0,0.4565217391304347,0.3962264150943396,0.4242424242424242,53.0,0.282051282051282,0.2972972972972973,0.2894736842105263,37.0,0.1594202898550724,0.44,0.2340425531914893,25.0,0.6614322258361649,0.6262142717169171,0.6160987074030552,0.6137624861265261,0.7558677098150782,0.66,0.6160987074030552,0.6137624861265261,0.7558677098150782,0.66,0.6262142717169171
ResNeXt-101,38.095238095238095,2.3812204798062644,0.3879439148253741,0.4832253952065272,0.4094398543207102,0.3628906783272428,0.3809523809523809,0.3468796705442435,0.34375,0.1486486486486486,0.2075471698113207,74.0,0.1967213114754098,0.2264150943396226,0.2105263157894736,53.0,0.62,0.8378378378378378,0.7126436781609196,37.0,0.391304347826087,0.72,0.5070422535211268,25.0,0.7709056960249134,0.6954639194498101,0.6297297297297297,0.5756104328523862,0.94950213371266,0.928780487804878,0.6297297297297297,0.5756104328523862,0.94950213371266,0.928780487804878,0.6954639194498101
Xception,37.56613756613756,2.673500165737495,0.503289435330605,0.4933860275369709,0.3993964398356433,0.5256545311053455,0.3756613756613756,0.3632215551045955,0.5217391304347826,0.1621621621621621,0.2474226804123711,74.0,0.5,0.1886792452830188,0.273972602739726,53.0,0.7878787878787878,0.7027027027027027,0.7428571428571429,37.0,0.2035398230088495,0.92,0.3333333333333333,25.0,0.7422711611318391,0.6448680981308847,0.6486486486486487,0.6709211986681465,0.8621977240398293,0.7873170731707317,0.6486486486486487,0.6709211986681465,0.8621977240398293,0.7873170731707317,0.6448680981308847
ViT-B/32,37.56613756613756,1.746147217573943,0.4207251082251082,0.4036104028556858,0.3269014320791837,0.4766382647335028,0.3756613756613756,0.3469573027839892,0.5757575757575758,0.5135135135135135,0.5428571428571428,74.0,0.6,0.0566037735849056,0.1034482758620689,53.0,0.25,0.3243243243243243,0.2823529411764706,37.0,0.2571428571428571,0.72,0.3789473684210526,25.0,0.6230154758400754,0.5919113873258495,0.6961222091656873,0.4805771365149833,0.5912162162162162,0.7241463414634147,0.6961222091656873,0.4805771365149833,0.5912162162162162,0.7241463414634147,0.5919113873258495
