Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
BEiT-V2-Base,39.68253968253968,1.383994637342988,0.3954124794913863,0.4190489546149923,0.3811195125823609,0.4440588228272805,0.3968253968253968,0.3954250046097311,0.5869565217391305,0.3648648648648648,0.45,74.0,0.34375,0.2075471698113207,0.2588235294117647,53.0,0.5,0.7837837837837838,0.6105263157894737,37.0,0.1509433962264151,0.32,0.2051282051282051,25.0,0.7096822463547818,0.694241482601271,0.6576968272620447,0.7394561598224195,0.8710881934566145,0.5704878048780487,0.6576968272620447,0.7394561598224195,0.8710881934566145,0.5704878048780487,0.694241482601271
Swin-V2-T,39.68253968253968,1.357873277058677,0.2177625182304326,0.375,0.2512479942948832,0.2828012747798843,0.3968253968253968,0.3042785545905531,0.5735294117647058,0.527027027027027,0.5492957746478874,74.0,0.0,0.0,0.0,53.0,0.2975206611570248,0.972972972972973,0.4556962025316455,37.0,0.0,0.0,0.0,25.0,0.5951908688646136,0.6116476769034088,0.6544065804935371,0.4783573806881243,0.6923897581792319,0.555609756097561,0.6544065804935371,0.4783573806881243,0.6923897581792319,0.555609756097561,0.6116476769034088
XCiT-Small-P16,39.15343915343915,1.413582514202784,0.4069928717755758,0.4211524732279449,0.3662064968437517,0.4865750059006466,0.3915343915343915,0.3867737133895448,0.8235294117647058,0.3783783783783784,0.5185185185185185,74.0,0.1785714285714285,0.0943396226415094,0.1234567901234567,53.0,0.4925373134328358,0.8918918918918919,0.6346153846153846,37.0,0.1333333333333333,0.32,0.188235294117647,25.0,0.7244110572629108,0.7206591827403114,0.8782608695652174,0.5320477247502775,0.9336770981507824,0.5536585365853659,0.8782608695652174,0.5320477247502775,0.9336770981507824,0.5536585365853659,0.7206591827403114
Swin-V2-B,38.62433862433863,1.313948879166255,0.2144688644688644,0.3883783783783784,0.2684876231226958,0.2004496385448766,0.3862433862433862,0.2587727909147251,0.0,0.0,0.0,74.0,0.4416666666666666,1.0,0.6127167630057804,53.0,0.3392857142857143,0.5135135135135135,0.4086021505376344,37.0,0.0769230769230769,0.04,0.0526315789473684,25.0,0.6484159832737648,0.6115636926924406,0.2656874265569918,0.9347946725860156,0.7453769559032717,0.6478048780487804,0.2656874265569918,0.9347946725860156,0.7453769559032717,0.6478048780487804,0.6115636926924406
Inception ResNet V2,38.095238095238095,2.634470334128728,0.3951430936949229,0.4763972463029067,0.3834009551477831,0.4020659970863223,0.3809523809523809,0.3504865290862526,0.4146341463414634,0.2297297297297297,0.2956521739130435,74.0,0.3181818181818182,0.1320754716981132,0.1866666666666666,53.0,0.6041666666666666,0.7837837837837838,0.6823529411764706,37.0,0.2435897435897435,0.76,0.3689320388349514,25.0,0.7499275101010586,0.704776835288299,0.6468860164512338,0.6842397336293008,0.8902916073968705,0.7782926829268293,0.6468860164512338,0.6842397336293008,0.8902916073968705,0.7782926829268293,0.704776835288299
Xception,38.095238095238095,1.687771824301866,0.4157307239626374,0.4920474247832738,0.4024501629304262,0.3990454513956378,0.3809523809523809,0.3555291172395765,0.3333333333333333,0.2027027027027027,0.2521008403361344,74.0,0.3103448275862069,0.1698113207547169,0.2195121951219512,53.0,0.7352941176470589,0.6756756756756757,0.704225352112676,37.0,0.2839506172839506,0.92,0.4339622641509434,25.0,0.7699220101318799,0.7181023300952755,0.6761457109283197,0.6816037735849056,0.8373044096728308,0.8846341463414634,0.6761457109283197,0.6816037735849056,0.8373044096728308,0.8846341463414634,0.7181023300952755
ResNeXt-101,37.03703703703704,2.344505160573929,0.3679062971342383,0.4663972463029067,0.3899007448485882,0.3533277271022369,0.3703703703703703,0.3389520123968836,0.3846153846153846,0.2027027027027027,0.2654867256637168,74.0,0.1458333333333333,0.1320754716981132,0.1386138613861386,53.0,0.5882352941176471,0.8108108108108109,0.6818181818181818,37.0,0.3529411764705882,0.72,0.4736842105263157,25.0,0.7303742847579617,0.7068951037205005,0.6618096357226793,0.540788013318535,0.8645092460881936,0.8543902439024391,0.6618096357226793,0.540788013318535,0.8645092460881936,0.8543902439024391,0.7068951037205005
ResNet-101,37.03703703703704,2.3658481139354604,0.3989619985925404,0.4761983681795003,0.3878476836962999,0.4053356865461017,0.3703703703703703,0.3359561979475881,0.5,0.1486486486486486,0.2291666666666666,74.0,0.2,0.2264150943396226,0.2123893805309734,53.0,0.5510204081632653,0.7297297297297297,0.627906976744186,37.0,0.3448275862068966,0.8,0.4819277108433735,25.0,0.7260968848151267,0.6676558140402937,0.7285546415981199,0.4109322974472808,0.8890469416785206,0.8758536585365855,0.7285546415981199,0.4109322974472808,0.8890469416785206,0.8758536585365855,0.6676558140402937
MViT-V2-Small,36.507936507936506,1.3480243197193853,0.2744925540595675,0.3660122386537481,0.2916692111959287,0.315136732874391,0.365079365079365,0.3163919921375392,0.3508771929824561,0.2702702702702703,0.3053435114503817,74.0,0.3720930232558139,0.3018867924528302,0.3333333333333333,53.0,0.375,0.8918918918918919,0.528,37.0,0.0,0.0,0.0,25.0,0.6118133778369996,0.6122075716431977,0.4224441833137485,0.6761931187569368,0.7832503556187767,0.5653658536585366,0.4224441833137485,0.6761931187569368,0.7832503556187767,0.5653658536585366,0.6122075716431977
DeiT-Tiny,35.44973544973545,2.3427297608562245,0.3394668784029038,0.3835849056603773,0.3334965605846388,0.3808393749379835,0.3544973544973545,0.343521578141172,0.56,0.3783783783783784,0.4516129032258064,74.0,0.2083333333333333,0.0943396226415094,0.1298701298701298,53.0,0.396551724137931,0.6216216216216216,0.4842105263157895,37.0,0.1929824561403508,0.44,0.2682926829268293,25.0,0.6326714086580242,0.6234334611759655,0.7403055229142186,0.3460044395116536,0.7716927453769559,0.6726829268292683,0.7403055229142186,0.3460044395116536,0.7716927453769559,0.6726829268292683,0.6234334611759655
ViT-B/16,33.86243386243386,1.850151910983696,0.3163383152173913,0.4410683324834268,0.3210563186408015,0.3363490625718886,0.3386243386243386,0.2883600484699721,0.53125,0.2297297297297297,0.320754716981132,74.0,0.0434782608695652,0.0188679245283018,0.0263157894736842,53.0,0.390625,0.6756756756756757,0.495049504950495,37.0,0.3,0.84,0.4421052631578947,25.0,0.6916595340974512,0.6275206927764247,0.7488836662749706,0.459211986681465,0.7709815078236131,0.7875609756097561,0.7488836662749706,0.459211986681465,0.7709815078236131,0.7875609756097561,0.6275206927764247
